index,mosque_name,district,google_maps_url,google_maps_score,latitude,longitude
34,BİLAL-İ HABEŞİ CAMİİ,BAYRAMPAŞA,https://www.google.com/maps/search/B%C4%B0LAL-%C4%B0%20HABE%C5%9E%C4%B0%20CAM%C4%B0%C4%B0%20BAYRAMPA%C5%9EA%20%C4%B0stanbul,,41.0074484,29.2570271
35,HAYIRSEVERLER CAMİİ,BAYRAMPAŞA,https://www.google.com/maps/search/HAYIRSEVERLER%20CAM%C4%B0%C4%B0%20BAYRAMPA%C5%9EA%20%C4%B0stanbul,,40.9806086,29.0908235
36,YEŞİL CAMİİ,BAYRAMPAŞA,https://www.google.com/maps/search/YE%C5%9E%C4%B0L%20CAM%C4%B0%C4%B0%20BAYRAMPA%C5%9EA%20%C4%B0stanbul,,40.9592055,29.252296
37,YEŞİLÇİMEN CAMİİ,BAYRAMPAŞA,https://www.google.com/maps/search/YE%C5%9E%C4%B0L%C3%87%C4%B0MEN%20CAM%C4%B0%C4%B0%20BAYRAMPA%C5%9EA%20%C4%B0stanbul,,41.0484061,28.9013053
38,KARTALTEPE ÇİFTEŞEREFELİ CAMİİ,BAYRAMPAŞA,https://www.google.com/maps/search/KARTALTEPE%20%C3%87%C4%B0FTE%C5%9EEREFEL%C4%B0%20CAM%C4%B0%C4%B0%20BAYRAMPA%C5%9EA%20%C4%B0stanbul,,41.0014985,28.8028217
39,ERTUĞRUL TEKKE CAMİİ,BEŞİKTAŞ,https://www.google.com/maps/search/ERTU%C4%9ERUL%20TEKKE%20CAM%C4%B0%C4%B0%20BE%C5%9E%C4%B0KTA%C5%9E%20%C4%B0stanbul,,41.0456703,29.0085448
40,ABDÜLVEHHAp EVVAB EFENDİ CAMİİ,BEYKOZ,https://www.google.com/maps/search/ABD%C3%9CLVEHHAp%20EVVAB%20EFEND%C4%B0%20CAM%C4%B0%C4%B0%20BEYKOZ%20%C4%B0stanbul,,41.0011912,28.9155736
41,ÇAVUŞBAŞI HZ. ÖMER CAMİİ,BEYKOZ,https://www.google.com/maps/search/%C3%87AVU%C5%9EBA%C5%9EI%20HZ.%20%C3%96MER%20CAM%C4%B0%C4%B0%20BEYKOZ%20%C4%B0stanbul,,41.0662223,28.8574805
42,YALIKÖY SERBOSTANİ MUSTAFAAĞA CAMİİ,BEYKOZ,https://www.google.com/maps/search/YALIK%C3%96Y%20SERBOSTAN%C4%B0%20MUSTAFAA%C4%9EA%20CAM%C4%B0%C4%B0%20BEYKOZ%20%C4%B0stanbul,,41.1377796,29.0857605
43,MOLLA GÜRANİ CAMİİ,BEYLİKDÜZÜ,https://www.google.com/maps/search/MOLLA%20G%C3%9CRAN%C4%B0%20CAM%C4%B0%C4%B0%20BEYL%C4%B0KD%C3%9CZ%C3%9C%20%C4%B0stanbul,,41.0245973,28.8491017
44,KURTÇELEBİ CAMİİ,BEYOĞLU,https://www.google.com/maps/search/KURT%C3%87ELEB%C4%B0%20CAM%C4%B0%C4%B0%20BEYO%C4%9ELU%20%C4%B0stanbul,,41.0340583,28.965497
45,YERALTI CAMİİ,BEYOĞLU,https://www.google.com/maps/search/YERALTI%20CAM%C4%B0%C4%B0%20BEYO%C4%9ELU%20%C4%B0stanbul,,41.0223638,28.9766585
46,İMARET CAMİİ,BÜYÜKÇEKMECE,https://www.google.com/maps/search/%C4%B0MARET%20CAM%C4%B0%C4%B0%20B%C3%9CY%C3%9CK%C3%87EKMECE%20%C4%B0stanbul,,41.021315,28.5802298
47,SAHİBÜL VEFA MESCİDİ,BÜYÜKÇEKMECE,https://www.google.com/maps/search/SAH%C4%B0B%C3%9CL%20VEFA%20MESC%C4%B0D%C4%B0%20B%C3%9CY%C3%9CK%C3%87EKMECE%20%C4%B0stanbul,,41.0210248,28.5385499
48,MİLLET BAHÇESİ CAMİİ,ÇATALCA,https://www.google.com/maps/search/M%C4%B0LLET%20BAH%C3%87ES%C4%B0%20CAM%C4%B0%C4%B0%20%C3%87ATALCA%20%C4%B0stanbul,,41.0265753,28.7838423
49,HZ. ALİ CAMİİ,ÇEKMEKÇY,https://www.google.com/maps/search/HZ.%20AL%C4%B0%20CAM%C4%B0%C4%B0%20%C3%87EKMEK%C3%87Y%20%C4%B0stanbul,,41.0994081,28.9125536
